Car Name,Price,Mileage,Transmission,Location,Link
2023 RAV4 Hybrid XSE AWDStandard Package,"$45,995","44,856 km",Automatic,"40  km away  Attrell Toyota, Brampton, ON",https://certifiedtoyota.ca/en/vehicle-details.30b06b67b6618f25f5908bb0e4b06e1183477fee20a90cbffa73622e01f21b818577d2265d256f3c205574b824774e90.html
2021 RAV4 Hybrid XLE AWDStandard Package,"$38,258.50","58,383 km",Automatic,"47  km away  Oakville Toyota, Oakville, ON",https://certifiedtoyota.ca/en/vehicle-details.9c9201a437f06f1d92021216a1c63f0773b449bacbb601333cdb2d642aaf9f0dfaf7544abeab2b61760de221bef3fa7c.html
2022 RAV4 XLE AWDXLE Premium AWD,"$35,249.50","25,149 km",Automatic,"47  km away  Oakville Toyota, Oakville, ON",https://certifiedtoyota.ca/en/vehicle-details.b49acd3e01a451c5ae735f8c0639c8cbfd6d96e768762ace0cb1cfe1af36201cb42843bd6919236bc38e7e5088566695.html
2024 RAV4 LE AWDStandard Package,"$34,794","40,484 km",Automatic,"47  km away  Oakville Toyota, Oakville, ON",https://certifiedtoyota.ca/en/vehicle-details.07720bd830e6e4268d3b1dc02f7cf0459082254fdd08aff0b31a45a1f120cba3010e4f70749eb8402f6a659ca502cabc.html
2024 RAV4 LE AWDStandard Package,"$35,499","13,124 km",Automatic,"47  km away  Oakville Toyota, Oakville, ON",https://certifiedtoyota.ca/en/vehicle-details.371c1823d4096504e971161046a0716a6b52beac9ef030263f918128434497a1340c633fb91bd385a8dc007b86c3e279.html
2019 RAV4 XLE AWDXLE AWD,"$30,081.50","72,468 km",Automatic,"48  km away  Georgetown Toyota, Georgetown, ON",https://certifiedtoyota.ca/en/vehicle-details.7210b0b04a352a3ad62f1d651fc2680968fc4169df5812b8d9dc78d2342bfcd25ac68ce378ef99c03a168a71a6a57078.html
2023 RAV4 LE AWDStandard Package,"$36,081.50","24,146 km",Automatic,"48  km away  Georgetown Toyota, Georgetown, ON",https://certifiedtoyota.ca/en/vehicle-details.a3a47c6aa25e63d4213d3048e7560c3f3d37e5e6bc6d025c61fb78a9303b12ef1830b8042579cfaf6cf813362b63d74a.html
2020 RAV4 XLE FWDStandard Package,"$29,027","73,030 km",Automatic,"58  km away  Performance Toyota, St Catharines, ON",https://certifiedtoyota.ca/en/vehicle-details.03b919393623b7bbbd279e29a080cfe0bdb47d15d558091f331d87bcdd9e924c04cbc7348c8bc1c61f09b5cbbee6d50c.html
2020 RAV4 LE FWDStandard Package,"$27,027","53,225 km",Automatic,"58  km away  Performance Toyota, St Catharines, ON",https://certifiedtoyota.ca/en/vehicle-details.485816e2b5f10f9b59faef21bc8728800d05e920b942f94edf61394d45255a92a9644e4312284a6e95309436b7d1c8d5.html
2023 RAV4 LE AWDStandard Package,"$33,900","106,336 km",Automatic,"64  km away  Red Hill Toyota, Hamilton, ON",https://certifiedtoyota.ca/en/vehicle-details.e6ce13c9449bfc212cca524ac04b4a030359108cb8eae7c4425c477e1c1cf57a50a69fd16cc5f8c34f9bbfdc642843d4.html
2024 RAV4 XLE AWDStandard Package,"$40,800","14,880 km",Automatic,"64  km away  Red Hill Toyota, Hamilton, ON",https://certifiedtoyota.ca/en/vehicle-details.2f0d7be9d5c2661a5b5a8e934ed6f32ee2be2d8eb5e984b42c04eb92d5cf44b17ba4c2cae7e8961201fbbe5f7fa9112f.html
2024 RAV4 XLE AWDStandard Package,"$40,800","16,886 km",Automatic,"64  km away  Red Hill Toyota, Hamilton, ON",https://certifiedtoyota.ca/en/vehicle-details.b2d30a697f1e12ede319d03a378f9fc4da12000d19a5b1011878bbbfb2d88c5d9e7fed4fe362607b7b6b8b30677903c9.html
2023 RAV4 Hybrid LE AWDStandard Package,"$42,900","51,165 km",Automatic,"71  km away  Upper James Toyota, Hamilton, ON",https://certifiedtoyota.ca/en/vehicle-details.5ea1ab42365dc0745b77e711e589660fbfe3640593efdfd13614c4a864226bbbb0cf4154bb02c3b191b3f3e7c25b4891.html
2023 RAV4 XLE AWDStandard Package,"$36,900","25,521 km",Automatic,"71  km away  Upper James Toyota, Hamilton, ON",https://certifiedtoyota.ca/en/vehicle-details.fa6fabd4e1f83387da9ccbcdf7e0ff7f5347d35f013cae9ea6ea8727715a665481a1c59682ae4ec1f9848470bed4c1d3.html
2023 RAV4 Hybrid XSE AWDStandard Package,"$46,087","41,060 km",Automatic,"75  km away  Welland Toyota, Welland, ON",https://certifiedtoyota.ca/en/vehicle-details.5bf2254661e8651429aaad27d6415ffef50347ebb13a428d80659fc8773435cd35e42d650f10e95368c51b21afd97513.html
2023 RAV4 LE AWDStandard Package,"$33,687","58,474 km",Automatic,"75  km away  Welland Toyota, Welland, ON",https://certifiedtoyota.ca/en/vehicle-details.b5c7045978f0dc1c65f99d4978e52aad80a903b73b5c00e5ca62c75ce1a8564908f96e2668bfdc204e8abe6540535b74.html
2024 RAV4 Hybrid LE AWDStandard Package,"$40,187","37,203 km",Automatic,"75  km away  Welland Toyota, Welland, ON",https://certifiedtoyota.ca/en/vehicle-details.df3523008de5c53da514e634909bb03bda1c6852e8a9bde4e082925b9c55d74a1f6599bbb2073afe4c87ef14698e4a5d.html
2024 RAV4 XLE AWDXLE Premium AWD,"$41,687","10,563 km",Automatic,"75  km away  Welland Toyota, Welland, ON",https://certifiedtoyota.ca/en/vehicle-details.d43cd336fe98b1a45fc942cf98129ee0172aca12f028a7bad44ac0d5f72eebf2b1896a1779ee531cdc329ec723c1cbdd.html
2025 RAV4 XLE AWDXLE Premium AWD,"$42,187",725 km,Automatic,"75  km away  Welland Toyota, Welland, ON",https://certifiedtoyota.ca/en/vehicle-details.a59245e0db3292960c7991c674f3cb32014b8e1ebe17cc98de5aac4828a802313c1127e145c8efb0ac91fc1d2056f7c7.html
2024 RAV4 XLE AWDStandard Package,"$40,034.50","21,445 km",Automatic,"78  km away  Jackson's Toyota, Barrie, ON",https://certifiedtoyota.ca/en/vehicle-details.69a29b1efb5015b5bd233dbee93fb7221da7a6b1f0efe6b87dfeebfff6c64d31450dca6836e2bb268a83e2536ef5e0af.html
2023 RAV4 Hybrid XLE AWDStandard Package,"$40,984","47,793 km",Automatic,"79  km away  Orangeville Toyota, Mono, ON",https://certifiedtoyota.ca/en/vehicle-details.d98d2b6ad80553d56c05bc43fa9203cd8a84495080c1bc504fcfefca1f4b69629704a3270c65e9ece3d4b26bcecc849d.html
2023 RAV4 Trail AWDRAV4 Trail AWD - Premium Colour,"$41,998","33,391 km",Automatic,"79  km away  Orangeville Toyota, Mono, ON",https://certifiedtoyota.ca/en/vehicle-details.1f23a501781248353f140cf1a41854663fbcd93d83bcb1a6e4fb225301da3aac83d9841e3ef90ad435617515e4c9bb2e.html
2024 RAV4 Hybrid XLE AWDStandard Package,"$46,588","16,904 km",Automatic,"79  km away  Orangeville Toyota, Mono, ON",https://certifiedtoyota.ca/en/vehicle-details.5dd25f4d1de57bae4f6422e52aaa3419c075d1f442dd1896ed14f4da1891531d1b8f86f8177d38ba44d85abcf628e06f.html
2021 RAV4 LE FWDStandard Package,"$29,650.50","28,835 km",Automatic,"84  km away  Guelph Toyota, Guelph, ON",https://certifiedtoyota.ca/en/vehicle-details.f96d745313888ae1a0cacf42d592c967eb3ad2d3e17b194e1dd9310fb2d8d98073d4f4a9f2474ff1298dfc16089dc2ea.html
2021 RAV4 XLE AWDStandard Package,"$33,250.50","60,937 km",Automatic,"84  km away  Guelph Toyota, Guelph, ON",https://certifiedtoyota.ca/en/vehicle-details.d9cf54e6631ed9b2a85b92da27f4b9412a7e09225cd4fe195336ede336045b18c625b801fb9837dc31ea19a5479c2c14.html
2021 RAV4 Hybrid Limited AWDStandard Package,"$38,050.50","84,506 km",Automatic,"84  km away  Guelph Toyota, Guelph, ON",https://certifiedtoyota.ca/en/vehicle-details.8448f8666ccb23ab9f0b2abe0287162bb00b38584517564eb196385c74c4db80c6e250d5582db0c4f3397e6f2b2fc107.html
2023 RAV4 LE AWDStandard Package,"$33,450.50","66,691 km",Automatic,"84  km away  Guelph Toyota, Guelph, ON",https://certifiedtoyota.ca/en/vehicle-details.0acf650e3614bbaa708ff73a67a5433673bdc7678c799de3ff532c3a1affb4dcf9bf480f647fd4d4f04eee835d752d8d.html
2020 RAV4 XLE FWDStandard Package,"$28,995","69,975 km",Automatic,"92  km away  Bill's Toyota Sales, Fort Erie, ON",https://certifiedtoyota.ca/en/vehicle-details.d7cfe5238583ec27b421caeb9b012b7ac3781e34f171094582c7eba45c14a55981361ef9399468980bfe1f1a04b9116d.html
2021 RAV4 Hybrid LE AWDStandard Package,"$32,488","40,483 km",Automatic,"96  km away  Heffner Toyota, Kitchener, ON",https://certifiedtoyota.ca/en/vehicle-details.d6feea4586d0eff8dd9860b9a1499716a29c8c4029549eeedf41bee7744bb2a9141563bcac4f1a9ea0bb309ebb70c889.html
2022 RAV4 XLE AWDStandard Package,"$34,988","67,976 km",Automatic,"96  km away  Heffner Toyota, Kitchener, ON",https://certifiedtoyota.ca/en/vehicle-details.0f76764938b6d5957cc781bb2210c421adbf9983bde611e9b9aa2224c860b261119d932ca7cb90d2b4a931967e74d177.html
2022 RAV4 Trail AWDStandard Package,"$39,488","41,036 km",Automatic,"96  km away  Heffner Toyota, Kitchener, ON",https://certifiedtoyota.ca/en/vehicle-details.afe7b1e71990c53940e19e63f1664840ac7c691e098978362de2f95a9f4f94c1e1011363506c586bd6106507e8f8298c.html
2023 RAV4 Hybrid XLE AWDStandard Package,"$43,488","18,160 km",Automatic,"96  km away  Heffner Toyota, Kitchener, ON",https://certifiedtoyota.ca/en/vehicle-details.76b32e16d06ec90cef4f128d23bdeb131b19ec13f92ebff62275f05625683985764fc740ea8f584f8d8afad8b06fab13.html
2023 RAV4 Hybrid XLE AWDStandard Package,"$43,988","37,793 km",Automatic,"96  km away  Heffner Toyota, Kitchener, ON",https://certifiedtoyota.ca/en/vehicle-details.50f8c705aeffef1704340ba21ea053d9731cad50666ea226ed0cc63d2bfafe158cefa7fe2ff5b43515d812ec58f3f726.html
2024 RAV4 Hybrid SE AWDStandard Package,"$45,988","22,946 km",Automatic,"96  km away  Heffner Toyota, Kitchener, ON",https://certifiedtoyota.ca/en/vehicle-details.9dce20fa3982f6203e8b32588582b8d31fb2326b1e18f0845fe5083d9c1587cd279187f5486ecc220df46a132e376d5b.html
2022 RAV4 XLE AWDXLE Premium AWD,"$33,995","74,641 km",Automatic,"124  km away  Simcoe Toyota, Simcoe, ON",https://certifiedtoyota.ca/en/vehicle-details.256463962adb8f3645dd57792312e7eddf1ddf3f0d74beb4206f5810e15be565b2ab349864b9c5b2b799ba0def8e14d7.html
2023 RAV4 LE AWDStandard Package,"$33,995","54,866 km",Automatic,"124  km away  Simcoe Toyota, Simcoe, ON",https://certifiedtoyota.ca/en/vehicle-details.4a40e112b4781f71666d1d8c31b73500df448a54bb3c834c9b088f463470bec008bfb0811a339087adbe51b62745c474.html
2024 RAV4 Limited AWDStandard Package,"$43,995","50,001 km",Automatic,"124  km away  Simcoe Toyota, Simcoe, ON",https://certifiedtoyota.ca/en/vehicle-details.aa7ae1c68622d37d76b2e140c525c40f1769747a4d60413865ccf809c93d05c320f2bd005f96ba0c90b2a24d9321eb38.html
2022 RAV4 LE AWDStandard Package,"$31,995","78,462 km",Automatic,"125  km away  Midland Toyota, Midland, ON",https://certifiedtoyota.ca/en/vehicle-details.a24a5a1e731871ed5c5f1c4161d6d9f6a8102740006a58ac155345cf0a45b06ea301e0d6e6b5362bb646e1aeabb27f4e.html
2022 RAV4 Hybrid XSE AWDXSE Technology Package,"$43,488.50","36,892 km",Automatic,"156  km away  Walkerton Toyota, Walkerton, ON",https://certifiedtoyota.ca/en/vehicle-details.bc35c85b071c131816dd9325093b75acc8d58f7e41097cbf3190c4b7ec0b9125535ce16146bd2ffb6116496034e4c354.html
2023 RAV4 Hybrid SE AWDStandard Package,"$42,488.50","32,081 km",Automatic,"156  km away  Walkerton Toyota, Walkerton, ON",https://certifiedtoyota.ca/en/vehicle-details.592ef013d396dcf93b71361da50d1a5ef5e5a2229045864b6b65d67eae28576ad6c9d8842c72cb9c8148115ea656f657.html
2019 RAV4 Hybrid Limited AWDStandard Package,"$32,982.50","87,521 km",Automatic,"161  km away  Belleville Toyota, Belleville, ON",https://certifiedtoyota.ca/en/vehicle-details.cc6cd8b1cea6a06b55b75f970d553eb0c6353a3b13e21ec1c753f20baa9f745f4403fb118be745afb3c29bc20f7a3c42.html
2022 RAV4 XLE AWDStandard Package,"$35,982.50","43,643 km",Automatic,"161  km away  Belleville Toyota, Belleville, ON",https://certifiedtoyota.ca/en/vehicle-details.0b4bc8edb98ac37ac850b0be23233bdd4637b6c1cef1e1aa4bff5319484305e0744ead9deffb18198c954363353e0324.html
2023 RAV4 XLE AWDStandard Package,"$36,982.50","57,170 km",Automatic,"161  km away  Belleville Toyota, Belleville, ON",https://certifiedtoyota.ca/en/vehicle-details.d4a8987a59d32d02955965caf11281b96d5d8791655e9977dfcf684de523223b2461246ee9dfa1dfffe8e4a066805cc6.html
2023 RAV4 Hybrid Limited AWDRAV4 Hybrid Limited - Premium Colour,"$46,982.50","24,840 km",Automatic,"161  km away  Belleville Toyota, Belleville, ON",https://certifiedtoyota.ca/en/vehicle-details.44453d11a1386c9466fdb572bfe1ba7f0770fde8de395c7bbb082528bbff6811ade79b56c69330a618b7c543a189cad2.html
2024 RAV4 XLE AWDStandard Package,"$37,982.50","34,811 km",Automatic,"161  km away  Belleville Toyota, Belleville, ON",https://certifiedtoyota.ca/en/vehicle-details.14fdc1a5612509b8c3afa1d15a3abb536af488c0894d2ce5b59820eb0a9324259cc46b125c8c01a05a404acf42ec7a8d.html
2021 RAV4 Hybrid Limited AWDStandard Package,"$38,998","78,347 km",Automatic,"180  km away  Toyotatown, London, ON",https://certifiedtoyota.ca/en/vehicle-details.ba4c7c2ff300be34c398cd63c76fa427f30eea58531a41404f2142f22b174e7f3c32d13c2f28ce4d3cfc834ec7738876.html
2021 RAV4 XLE FWDStandard Package,"$31,998","25,258 km",Automatic,"180  km away  Toyotatown, London, ON",https://certifiedtoyota.ca/en/vehicle-details.702882e1ae270baaa863c903d832fb2abd8d948b245db957d0a2bad37146f3fd1911ffb604d425d803314e26ae175613.html
2021 RAV4 XLE AWDXLE Premium AWD,"$33,998","75,323 km",Automatic,"180  km away  Toyotatown, London, ON",https://certifiedtoyota.ca/en/vehicle-details.a405ce80b58702f2d52a06d5ce336a779939b573bb7d8ec0b645817d7c225f0f465e309fe8015f95828ac8ebf9415b59.html
2022 RAV4 LE FWDStandard Package,"$33,998","6,673 km",Automatic,"180  km away  Toyotatown, London, ON",https://certifiedtoyota.ca/en/vehicle-details.e2506944678a8e144f4d802d931538e32b1f6b02cbaf33f9a5dced8c50e549c65198bc5201a7b5d0be30ecab419cb1d9.html
2022 RAV4 LE FWDStandard Package,"$32,998","39,074 km",Automatic,"180  km away  Toyotatown, London, ON",https://certifiedtoyota.ca/en/vehicle-details.8a8a733ad4bdbb691a2c2f7168dd6b5461830a891bb7d04d23fb51100ffe3c7acf319207a608750e3323cb6bd1e83a32.html
2024 RAV4 LE AWDStandard Package,"$35,998","33,927 km",Automatic,"180  km away  Toyotatown, London, ON",https://certifiedtoyota.ca/en/vehicle-details.00010b867bdbb14e42bc3e45185a7a89725b15f364bdef21207b07d8f7f3cee94fb055773848ae7adb28ce2be4856d52.html
2021 RAV4 LE FWDStandard Package,"$28,852","55,325 km",Automatic,"294  km away  North Bay Toyota, North Bay, ON",https://certifiedtoyota.ca/en/vehicle-details.2dbb9f5b5287337ae729841f094c1883e267960d8112589b2f8681792bd0760f58943dcfad677d4cb0d22fc1e48b0cb6.html
2023 RAV4 XLE AWDStandard Package,"$38,888","39,024 km",Automatic,"333  km away  Eastway Toyota, Windsor, ON",https://certifiedtoyota.ca/en/vehicle-details.1c2b6aaff2a3eb33153e395eb3246ba2c8aa336a939bd258b4aae615713a21845de5107a13e93934e8eb8d8cdf83b53e.html
2023 RAV4 Hybrid LE AWDStandard Package,"$39,436","18,476 km",Automatic,"337  km away  Tony Graham Toyota, Ottawa, ON",https://certifiedtoyota.ca/en/vehicle-details.bdd2db13c7e835cf8902369ddd6e4ec85c53e140f488e247695115550a3f25a05230b5dda52b337c7e57ffb487cb71ee.html
2024 RAV4 XLE AWDXLE Premium AWD,"$40,436","47,403 km",Automatic,"337  km away  Tony Graham Toyota, Ottawa, ON",https://certifiedtoyota.ca/en/vehicle-details.e4dca8760a27dedd15bcafc04d0a96a04793ebce4180de3c49e95414e90b10d9c61aa34b321650f5e7f8a04775c18076.html
2019 RAV4 XLE FWDXLE FWD,"$26,888.50","95,471 km",Automatic,"348  km away  Bel-Air Toyota, Ottawa, ON",https://certifiedtoyota.ca/en/vehicle-details.799c0e545c3f054b30d8c29bce016527a3399d31974d3c0fc3b93c4a08e653aa6436de8c99b3989822fa54bccbef3aaf.html
2022 RAV4 XLE AWDStandard Package,"$33,888.50","84,737 km",Automatic,"348  km away  Bel-Air Toyota, Ottawa, ON",https://certifiedtoyota.ca/en/vehicle-details.d85323912237c166588391f041250431df43d9a7b247bdfe255342da936790fe2e0915f51aff0457e54045bded41c04e.html
2022 RAV4 LE AWDStandard Package,"$31,888.50","81,144 km",Automatic,"348  km away  Bel-Air Toyota, Ottawa, ON",https://certifiedtoyota.ca/en/vehicle-details.afcfb5bc31f9f0d8e8aa729545bcc274ecb61d0faf4ffd9763ac9a518876c04c116dc3133c411a5105b149d26a899b68.html
2022 RAV4 LE AWDStandard Package,"$31,888.50","82,042 km",Automatic,"348  km away  Bel-Air Toyota, Ottawa, ON",https://certifiedtoyota.ca/en/vehicle-details.a50604960703ebea269e04f665acd4b512fbed9256dac8f645f231c8cb62dab28cf4d915ab3de786e2a2d85844a33323.html
2022 RAV4 LE AWDStandard Package,"$31,888.50","83,673 km",Automatic,"348  km away  Bel-Air Toyota, Ottawa, ON",https://certifiedtoyota.ca/en/vehicle-details.a50bed700a149bee455c8312e105c8c738f0aba0083473a6033892596b3d6889cb498f013d64a5880a6d704f6bad07ec.html
2022 RAV4 LE AWDStandard Package,"$31,888.50","78,375 km",Automatic,"348  km away  Bel-Air Toyota, Ottawa, ON",https://certifiedtoyota.ca/en/vehicle-details.a7325f66cb725c0668bf6603f3067b15e4e331ca825add50a2a5a7d3c2656d449ee93e6c1da91162a73d0bde57b33cc0.html
2023 RAV4 LE AWDStandard Package,"$31,888.50","82,632 km",Automatic,"348  km away  Bel-Air Toyota, Ottawa, ON",https://certifiedtoyota.ca/en/vehicle-details.f92f479dfc6838da76a70588cce791ac7d3df510db3d92c5067addf6bec6666c25970790c6f5f01779433b5323175471.html
2024 RAV4 Limited AWDStandard Package,"$45,888.50","38,967 km",Automatic,"348  km away  Bel-Air Toyota, Ottawa, ON",https://certifiedtoyota.ca/en/vehicle-details.f22263d4259cf50852d4d09fee910cdeff5af03af9edccb3585db06f5b623abd9abdb5a147b7eeb20bf92d89acb5e69c.html
2024 RAV4 Hybrid XLE AWDStandard Package,"$45,888.50","13,908 km",Automatic,"348  km away  Bel-Air Toyota, Ottawa, ON",https://certifiedtoyota.ca/en/vehicle-details.dc52937abbd29b4b28066d657ea337a0d50ef402aa20aaeadd8365836da40e0afce0b34c7d333e88c41972911026a728.html
2019 RAV4 XLE AWDXLE AWD,"$26,495","107,800 km",Automatic,"429  km away  Hawkesbury Toyota, Hawkesbury, ON",https://certifiedtoyota.ca/en/vehicle-details.840049d53e81a56e51a00017a59f9636d91fafaeb5dac2e930dd98512e302dbf5e515ee9cd48172c780451188c9ff10d.html
2023 RAV4 LE AWDStandard Package,"$33,495","47,401 km",Automatic,"429  km away  Hawkesbury Toyota, Hawkesbury, ON",https://certifiedtoyota.ca/en/vehicle-details.1bdddc3767e14ed5a910e6a0c9230af911517aa39b671736358685fce8bb7fe045806c809d6715d3a11219592daf7f70.html
2021 RAV4 Hybrid Limited AWDStandard Package,"$35,982.50","123,512 km",Automatic,"930  km away  Wayne Toyota, Thunder Bay, ON",https://certifiedtoyota.ca/en/vehicle-details.0e213cc699885a63959dbcb9985ef833e4db65bb13e40a22dfdb1b168f26e815fb8452af2e0cf8bdde4b8d7570ae24f4.html
2022 RAV4 Trail AWDStandard Package,"$39,982.50","63,106 km",Automatic,"930  km away  Wayne Toyota, Thunder Bay, ON",https://certifiedtoyota.ca/en/vehicle-details.b3223948bfcebbd3fdf4c3cbb10bb7bef7f674e17f8bcc1f0b0769089ad72bafe4cdd80cc5663a04b06c20644ce6519b.html
